id,description,usersrated,average,name,sentiment
10869,"From the Mayfair Catalog: Heart of Africa is a meaty trading game where the players each lead a trading company which tries to make profits in Africa. Although Africa had been circumnavigated by the start of the 19th century, the continent remained largely undiscovered. One of the great mysteries was the source of the Nile, and explorers like Burton, Speke, Baker and Livingstone became immortal in their attempts to find it. ",375,5.46693,Heart of Africa,0
72482,"Heroes of Graxia is a deck building game for 2-6 players that features dynamic gameplay using cards in a fantasy strategy-based environment. The game uses cards to represent forces on the gameplay table. Starting with a small deck of 12 cards, players build their empire by buying the best cards to prepare them to out-smart and out-maneuver other players to obtain trophies and prestige in the World of Graxia. The game will contain more than 240 unique cards at release, as well as miniatures. Buy for your deck the best Weapons, Armor, Spells, Armies, Henchmen, and Mercenary cards. Conquer enemies by playing these cards on the gameplay table in a sequence of turns with other players. As Players defeat Units and Heroes of opposing Legions, they gain Prestige by taking the appropriate Prestige Point cards and placing them in their Loot Pile. These points are tallied the end of the game to determine the winner. Players may examine the Loot Pile of each other at any time. The fantasy world of Graxia is filled with mysteries designed for players to discover and solve. Why are there huge continents floating in the sky? Why is there such a wide variety of races living on each of these continents when travel between these lands is only accomplished through the use of Guardian created magical portals? Only selecting your favorite Guardian, exploring the world, and commanding your armies in battle, provides the answers to some of the Graxian mysteries. Heroes of Graxia is not a CCG. It is a deck building card game based on the Graxia universe and Guardians of Graxia board game published by Petroglyph. ",408,5.47314,Heroes of Graxia,0
295394,"In Juduku  (aka Guatafac or Dreister), you have 8 seconds to guess the most bizarre thoughts of your friends, family or mere strangers with whom you will have to share honesty, spontaneity and uncensored answers. In this game you, your family and friends must answer, in 8 seconds, questions as funny and controversial as these:      Quote 3 reasons to give ""I like"" to an ugly one in Tinder.      Say 3 things it's better to do naked.      Quote 3 ways to get more likes in Instagram A player wins the game when he has reached 7 points.  (1 point = 1 question answered during the limited time of 8 seconds) description from the publisher ",141,5.11554,Juduku,0
172032,"You are mighty VIKINGS! Mighty, but very small. As you sail your ship around a bottlecap, you will loot and plunder gold and wood to improve your city (granting you new abilities) and gain victory points. And while you may get hurt along the way, sometimes it's best to just push ahead, because the Valkyries don't come to claim the dead immediately... Bottlecap Vikings is a small rondel game with a ton of replayability. The rondel spaces are not fixed in place- they are randomized at the beginning of the game. Not only that, they're double-sided, so you might never play on the exact same configuration twice. There are two different victory conditions, and players each have a small ""tech-tree"" in their city with multiple viable paths. Furthermore, the city cards are double-sided, one side is identical for all players, and the other side is unique. To top it off, the crux of the gameplay is the push-your-luck damage system, which makes you value spaces differently depending on how damaged you or others already are. Bottlecap Vikings is packaged with 3 mini-expansions for other Tasty Minstrel Games Harbour: Ice Viking Gold West: Bandits Promo Eminent Domain: Battlecruisers  Heavy Assault ",497,5.08663,Bottlecap Vikings,0
72766,"SmileyFace is a card game of face-to-face family fun for four to eight players. Over the seven short rounds of the game, each player tries to collect the highest total face value of cards of a single type. Each round brings new surprises as the values of cards change and the wacky Mischief cards come into play. Only the player with the highest score for a round (and perhaps the player who lent them a helping hand) will win points! ""A King's Life"": Intriguingly the designer reports that originally the game had a very different theme, being called ""A King's Life"" and concerned with a royal court and its attempts to cheer up a bored king. The retheme was recommended by the publisher. ",475,5.44406,SmileyFace,0
2929,"Monopoly with a dot-com theme. Relive the rise and fall of the dot-coms. Has special ""Offline"" rule which prevents a player from collecting rent on whatever property the ""Offline"" token is placed. ",169,5.03402,Monopoly: The .com Edition,0
13805,"(From the back of the box) The Lord of the Rings: The Return of the King follows - to an astounding conclusion - the epic journey of men, hobbits, elves, dwarves and the rest of Middle-earth's creatures and cultures as they wage the ultimate fight for good against evil. Sauron's forces have laid siege to Minas Tirith, the capital of Gondor, in their efforts to eliminate the race of men. The once great kingdom has never been in more desperate need of its king. But can Aragorn answer the call of his heritage and become what he was born to be? In no small measure, the fate of Middle-earth rests on his broad shoulders. Relive the adventure of New Line Cinema's Academy Award winning epic film through The Lord of the Rings: The Return of the King Board game - the final game based on The Lord of the Rings epic movie trilogy. With majestic images from the film, life long followers or first time fans will find the game uniquely challenging, yet easy to play, as this saga of good against evil continues. (Deluxe Edition Notes:) Flip the game tiles to reveal the BONUS ""Journey to Mount Doom"" Game. Players travel from the Shire through the entire Lord of the Rings Trilogy by moving Frodo toward Mount Doom and keeping him from Sauron's evil gaze. Can be played as stand alone or in combination with The Lord of the Rings: The Fellowship of the Ring and The Lord of the Rings: The Two Towers Board Game ",145,3.73766,The Lord of the Rings: The Return of the King,0
172307,"This game attempts to mirror life events many people go through from going to college, raising a family, buying a home, working and retiring. The intent of the game is to have the most assets at the end of the game.  Assets are earned primarily by passing Payday spots on the game board.  Money is also earned (and sometimes lost) by drawing Action cards, which assign set amounts or multiples of the wheel spin. There is a very linear board that you move along by spinning a wheel.  There are a handful of intersections where you can choose to go one direction or another but they ultimately have similar spaces and meet back up quickly.  The first one is a decision to either attend college (payment due and a longer track), or not - with different career cards drawn as a result of that decision.  There are a handful of choices regarding house speculation, but for the most part it is a game of luck. This game makes a number of updates to older games in the game family.  The maximum number of players has been reduced from 6 to 4, and a number of new cards and concepts have been introduced, increasing the randomness of asset collection. ",618,4.93491,The Game of Life (2013- Editions),0
193488,"Description from the publisher: In Airlines, players represent the new emerging airlines in the 1960s, trying to become the best airline in the world. In order to grow your airline, though, you must Found new Airports, Purchase new planes, Improve your existing planes, and Construct supporting buildings. The game uses an innovative ever-changing world of new Passengers and a fast-paced card system. ",110,4.47882,Airlines,0
64204,"The game's theme is based on answering questions relating to popular advertising logos and brands. Players move their pawns around a spiraling board for answering questions correctly relating to a logo, until they get to the Winning Zone at the center of the board. Movement depends on the successful answering of questions to proceed to the next colored area on the board. Different countries have different versions of the game, with many local brands represented in each edition. There are 400 cards with 4 questions on each card - blue, green, yellow, and red. The winning player is the first person to get around the board by answering the most questions correctly. They then win by answering all the questions on a card (blue, green, yellow, and red question) whilst in the Winning Zone. Game play alternates as players take it in turn to ask questions and move around the board. ",1199,5.14854,The Logo Board Game,0
