word,frequency
game,40040
players,26400
cards,22443
player,22073
one,17111
card,13809
play,9872
points,9230
new,7911
turn,7802
two,7646
board,6756
first,5894
must,5857
take,5807
time,5699
dice,5474
also,5362
three,4912
different,4865
end,4744
round,4492
number,4424
use,4299
1,4146
get,4106
set,4084
wins,4071
may,4040
rules,4010
hand,3946
place,3859
deck,3857
2,3728
four,3701
world,3677
move,3634
games,3593
played,3572
tiles,3523
make,3468
score,3442
war,3437
many,3422
win,3376
victory,3346
action,3344
battle,3319
description,3294
publisher,3211
order,3183
actions,3128
build,3022
city,2895
3,2879
special,2733
playing,2678
unique,2539
4,2530
turns,2431
every,2421
need,2417
color,2396
map,2395
control,2377
five,2372
way,2354
choose,2353
another,2353
power,2334
space,2317
next,2316
best,2315
start,2314
resources,2312
system,2302
series,2256
combat,2245
try,2238
like,2227
die,2220
even,2206
team,2204
building,2168
draw,2164
tile,2128
back,2121
edition,2101
well,2085
using,2079
takes,2057
based,2048
either,2017
find,2011
5,1973
around,1971
used,1947
ends,1920
rounds,1920
opponent,1905
units,1870
collect,1865
pieces,1859
possible,1858
characters,1847
roll,1838
face,1835
opponents,1835
tokens,1825
six,1816
gain,1803
right,1795
side,1792
table,1783
point,1765
complete,1756
great,1754
goal,1754
value,1742
includes,1729
character,1726
last,1697
placed,1688
money,1687
together,1668
strategy,1664
help,1619
heroes,1613
6,1600
abilities,1592
phase,1587
box,1584
attack,1579
become,1569
keep,1523
want,1516
army,1515
land,1502
de,1495
fight,1489
forces,1481
top,1479
available,1476
winner,1463
create,1457
race,1456
trying,1423
version,1417
'll,1416
various,1412
features,1410
campaign,1405
go,1395
role,1391
scoring,1371
second,1366
everyone,1361
work,1360
powerful,1348
scenarios,1341
track,1339
add,1319
much,1318
level,1311
battles,1303
however,1299
movement,1283
front,1277
enough,1275
king,1272
ship,1265
line,1262
monsters,1252
gold,1243
area,1243
german,1242
part,1239
earn,1239
along,1227
others,1222
see,1219
full,1194
good,1189
enemy,1188
10,1184
ships,1183
counters,1181
simple,1180
're,1179
original,1177
influence,1171
give,1170
buildings,1167
experience,1149
spaces,1147
across,1147
family,1140
whoever,1140
adventure,1126
final,1124
come,1119
might,1118
people,1109
treasure,1109
allow,1103
long,1103
life,1100
highest,1095
events,1094
additional,1093
course,1084
types,1080
without,1069
red,1068
several,1064
small,1052
high,1049
island,1047
bonus,1047
plays,1046
cities,1046
day,1043
able,1037
including,1033
gets,1031
gameplay,1028
type,1026
fun,1024
tactical,1018
years,1018
strategic,1017
per,1011
secret,999
allows,996
sets,993
single,989
colors,988
instead,984
placing,984
items,982
left,982
powers,981
certain,978
story,976
made,976
moves,976
command,974
group,966
empire,962
token,962
minutes,961
would,960
lose,958
could,947
row,944
goods,939
dungeon,935
taking,933
comes,930
armies,929
put,927
8,923
x,917
total,915
discard,915
ability,914
pile,914
starts,908
change,907
scale,906
dark,904
uses,902
hero,901
expansion,898
making,898
black,898
designer,897
always,892
animals,890
scenario,887
challenge,886
worth,882
explore,879
still,878
piece,877
party,876
moving,874
market,873
word,871
contains,866
locations,866
included,866
compete,862
starting,861
air,861
little,856
escape,850
easy,850
town,849
know,847
least,846
buy,845
designed,844
mission,841
depending,836
trade,832
unit,831
defeat,825
bring,825
history,824
location,821
ancient,820
places,820
better,817
reach,816
include,815
run,809
determine,808
specific,805
magic,804
creatures,802
book,795
effects,790
ways,790
seven,788
show,787
decide,786
claim,784
whether,782
fast,780
attempt,779
base,779
7,778
la,778
event,777
represent,776
force,776
form,775
case,772
12,772
resource,771
sea,771
home,771
large,770
animal,770
lost,768
match,763
lead,762
crew,762
friends,761
within,760
year,756
key,755
strength,752
skills,750
hands,749
star,748
monster,747
away,743
multiple,743
old,742
've,742
quickly,735
basic,734
fighting,732
hidden,732
historical,732
weapons,729
master,729
path,729
reveal,726
scores,724
dragon,724
elements,723
food,722
components,722
room,721
eight,720
luck,720
big,720
rule,718
grid,714
fire,712
important,710
teams,709
house,707
classic,706
miniatures,706
winning,705
solitaire,702
things,697
called,696
blue,696
later,689
military,687
times,687
extra,684
addition,683
matching,682
missions,679
chance,679
future,678
provide,677
consists,676
revealed,675
workers,675
plan,673
numbers,671
allies,668
gather,667
leader,667
already,666
hex,665
position,664
decks,662
cooperative,661
answer,659
open,658
maps,657
ever,654
evil,654
travel,653
pay,652
night,652
center,650
main,648
valuable,648
manage,647
never,645
free,645
pick,645
known,644
someone,644
name,644
french,642
enemies,641
perform,640
makes,640
attacks,639
learn,639
areas,638
europe,635
advanced,635
stop,634
rulebook,633
beginning,633
field,632
wars,632
since,632
pass,631
information,631
means,631
hours,628
etc,628
following,628
age,626
random,625
bid,624
published,622
design,622
remaining,622
throughout,622
challenges,621
real,620
onto,620
combination,619
terrain,619
everything,616
art,615
entire,615
survive,615
company,614
receive,614
planet,614
supply,614
built,611
increase,610
ten,610
added,608
stack,608
ready,608
kingdom,608
similar,607
going,604
third,604
among,603
else,601
coins,600
less,600
higher,600
limited,599
damage,598
far,596
though,596
white,596
castle,595
trick,595
begins,594
quick,594
example,592
century,592
earth,590
words,588
discover,588
found,587
guess,587
rolls,586
village,585
placement,584
tactics,582
troops,582
variety,581
north,580
individual,580
middle,579
acquire,578
clues,577
factions,574
upon,573
hold,572
quest,571
support,569
major,568
choices,567
save,562
mechanics,562
ages,561
forest,561
given,561
object,560
glory,560
choice,560
9,558
lands,558
represented,557
spend,556
look,556
20,555
days,555
sides,555
drawn,555
epic,554
collection,554
ones,553
treasures,553
decisions,553
tower,552
released,551
send,550
fantasy,549
american,549
ii,547
active,546
exciting,546
amount,546
steal,545
capture,545
objective,544
adjacent,544
simultaneously,544
think,544
current,543
finally,543
collecting,542
immediately,540
careful,540
drawing,539
rolling,539
chosen,539
correct,538
death,537
30,536
runs,536
famous,535
gives,535
search,535
equipment,535
region,533
square,531
equal,531
standard,531
british,531
objectives,530
person,530
energy,530
achieve,529
green,529
represents,529
mode,527
dragons,526
universe,525
boards,523
light,523
solo,522
soon,522
thus,520
expand,520
soviet,519
let,519
advance,518
markers,516
needed,516
questions,515
train,515
rest,514
plastic,514
taken,511
youll,510
adding,509
colored,508
phases,507
levels,506
companies,506
shows,506
return,505
wild,504
balance,504
lines,503
options,503
water,502
ca,502
whole,502
values,500
empty,499
gods,498
yet,498
members,498
hit,498
representing,497
cover,496
stock,495
select,495
carefully,493
cost,493
roles,492
goes,492
conditions,491
count,491
divided,490
combinations,489
skill,488
combined,488
goals,486
us,485
prestige,484
greatest,483
completed,483
central,482
sell,482
fall,481
symbols,480
political,480
spells,479
river,479
collected,478
chooses,478
worker,478
en,477
cubes,476
draws,474
wooden,473
controls,473
theme,472
men,472
el,472
suit,471
block,470
adds,469
receives,469
alien,469
size,467
sheet,467
conflict,466
plus,465
stand,465
general,465
sure,465
22,464
question,463
destroy,462
nine,461
short,461
risk,460
faction,459
early,459
personal,459
fish,459
infantry,458
often,458
call,457
civilization,456
competitive,456
management,455
west,455
blocks,455
deep,454
secretly,453
fleet,452
target,451
journey,449
pirate,449
deal,448
15,448
two-player,447
parts,445
created,444
core,443
human,443
fate,443
counter,442
getting,442
share,440
bonuses,440
allowing,439
develop,438
mechanism,438
advantage,436
watch,435
title,435
aid,435
standalone,435
continues,434
sometimes,434
defend,433
groups,432
giving,432
looking,432
begin,431
dead,431
struggle,431
avoid,431
determined,430
wargame,430
changes,430
result,430
allied,429
something,427
defense,427
previous,426
chips,426
speed,425
grow,424
lot,423
clever,423
provides,423
competition,422
completely,421
states,421
orders,420
opposing,420
offers,420
behind,419
half,419
complexity,419
according,417
100,417
popular,417
becomes,416
required,416
production,415
ultimate,415
que,414
range,414
solve,413
offer,413
mark,413
knowledge,413
effect,412
randomly,412
printed,412
japanese,411
favor,410
numbered,410
trading,410
showing,409
pawns,409
lay,408
stones,408
figure,408
strategies,407
enter,407
tricks,407
successful,406
task,406
column,405
country,403
leaders,403
car,402
pool,402
magical,401
dealt,400
activate,400
fill,400
finish,399
common,399
step,399
working,399
protect,399
fast-paced,399
inside,399
style,397
captain,397
booklet,396
display,396
2-4,395
paths,395
rooms,395
plans,395
scored,394
featuring,394
longer,393
fields,393
variant,393
period,393
head,392
beautiful,392
houses,391
filled,391
rolled,391
ground,391
aircraft,390
creating,388
results,387
development,386
reaches,386
close,385
present,385
improve,384
note,384
difficult,384
territory,384
progress,382
islands,381
france,381
adventures,381
battlefield,380
fellow,380
recruit,379
otherwise,379
modern,379
remove,378
season,377
follow,377
pawn,377
bag,376
perfect,376
south,376
really,376
brings,375
mountain,375
purchase,374
tries,374
planning,373
dangerous,372
removed,372
warfare,372
pirates,372
hard,372
highly,371
16,371
era,371
marker,370
yellow,369
clue,369
galaxy,369
research,369
draft,367
covers,367
clan,366
true,365
loot,365
whose,364
particular,364
opportunity,363
say,363
bad,363
letter,362
correctly,361
favorite,360
naval,359
mysterious,358
roman,358
figures,358
puzzle,357
construction,357
success,357
artillery,357
11,357
lord,357
beware,356
grab,356
website,356
meet,356
challenging,355
east,355
needs,355
wealth,353
man,353
push,353
racing,353
route,352
unlock,351
versions,351
competing,350
alone,350
larger,350
planets,349
break,347
children,347
germany,347
technology,346
although,346
warriors,346
gems,345
rather,345
civil,345
item,345
flip,345
join,345
face-up,344
grand,344
operations,344
legendary,343
encounter,343
catch,342
stone,342
adventurers,341
road,341
boss,340
ingredients,340
detail,340
spell,339
difficulty,339
ahead,338
edge,338
stories,338
leave,336
rise,336
regions,335
objects,335
vp,334
symbol,334
hill,334
requires,334
nothing,334
construct,334
queen,333
invasion,333
exactly,333
direction,332
english,332
necessary,332
winter,330
forward,330
welcome,329
matches,329
stay,329
rid,329
strong,329
ring,328
simulation,328
done,328
upgrade,327
los,327
stars,327
shown,326
rows,326
inspired,326
chaos,326
agents,325
union,324
zombies,324
continue,324
survival,324
interesting,323
sheets,322
species,322
double,322
usually,321
emperor,321
act,321
rewards,321
worlds,321
thing,320
races,320
realm,320
anyone,320
sum,320
low,320
completing,319
face-down,319
live,319
humans,319
knights,318
simply,318
rival,318
campaigns,318
visit,318
1-4,318
towards,318
feel,317
heart,317
network,317
axis,317
cause,316
loses,316
income,315
soldiers,315
setting,315
expanded,315
garden,314
un,314
kind,314
pack,312
combine,312
mechanisms,312
corresponding,311
quests,310
god,310
smaller,310
mix,310
aim,309
station,309
fully,308
rich,308
lowest,308
park,308
deck-building,307
expansions,307
hunt,307
moved,306
conquer,306
ball,305
element,305
moment,305
bank,305
auction,304
hope,304
united,303
offensive,303
strike,303
systems,302
families,302
mine,301
crime,301
keeping,301
25,301
almost,301
nature,299
mind,299
cross,298
price,298
business,297
separate,297
dungeons,296
love,296
landscape,296
bottom,295
letters,295
largest,295
18,295
state,295
precious,295
hour,295
ghost,295
capital,295
choosing,295
gaining,295
require,295
kill,294
past,294
produce,294
timer,294
gaming,294
rome,294
answers,294
coin,293
squares,293
cavalry,292
seek,292
throne,292
co-operative,292
identical,291
imperial,291
western,291
resolve,291
bidding,291
playable,291
charts,291
24,291
feature,291
creature,288
wrong,288
carry,287
page,287
contents,286
allowed,286
wizard,286
gamers,286
double-sided,286
tracks,285
temple,285
moon,285
remain,285
detailed,285
prepare,284
shape,284
clear,283
safe,283
artifacts,283
near,282
operation,282
optional,282
bit,281
coming,280
previously,280
resolved,280
anything,280
test,279
hire,279
japan,279
late,279
survivors,279
mighty,279
shares,278
wisely,278
seen,278
enjoy,278
twelve,278
movie,277
connected,277
guide,277
routes,277
release,277
nations,276
greater,276
towers,276
eye,275
sequence,275
deliver,275
focus,275
local,275
innovative,275
works,274
royal,273
changing,273
economic,273
commander,273
circle,272
darkness,272
rivals,272
twist,272
mystery,272
machine,272
mechanic,272
shuffle,271
railroad,271
secure,271
lower,271
puzzles,271
drafting,271
complex,271
successfully,271
deduction,270
awarded,270
connect,270
spot,270
beyond,270
deadly,270
majority,269
possibly,269
turned,269
reward,269
cash,269
tell,269
sun,268
remember,268
hunters,268
laid,268
russian,267
weapon,267
division,267
perhaps,267
fewer,266
wants,266
running,265
fortune,265
except,265
covering,264
modular,264
ensure,264
pacific,263
valley,263
got,263
fought,263
succeed,263
duel,263
cars,263
germans,262
ice,262
tanks,262
attacking,262
check,262
prove,262
exploration,262
shared,261
write,261
tree,261
obtain,261
arena,261
access,261
spanish,260
fame,260
lasts,260
tribe,260
walls,260
read,259
throw,258
standing,258
holds,258
america,258
public,258
living,258
corps,257
dont,257
familiar,257
overcome,257
earned,257
directly,257
opportunities,257
2nd,256
fruit,256
territories,255
corner,255
reputation,255
provided,255
faster,255
situation,254
merchants,254
gathering,254
zombie,254
fulfill,254
cast,254
pages,254
minions,253
determines,253
eventually,253
13,253
closer,253
artwork,252
population,252
jump,252
leads,252
exchange,252
34,251
young,251
wish,251
dynamic,251
tasks,251
threat,251
60,250
due,250
abstract,250
lets,249
iron,249
honor,249
maneuver,248
mountains,248
empires,248
discarded,248
alive,247
spread,246
variable,246
job,246
villains,246
citizens,246
peace,245
negative,245
traps,245
40,245
toward,244
blood,244
increasing,244
actually,243
numerous,243
leading,242
traditional,242
remains,242
combines,242
desert,242
destroyed,241
alliance,241
puts,241
categories,241
maximum,241
assault,241
0,241
roads,240
tribes,240
books,240
cat,240
knows,239
updated,239
materials,239
wall,238
countries,238
buying,238
miles,238
golden,238
cargo,237
siege,237
matter,237
-description,237
dog,237
contain,236
reveals,236
engine,236
villages,236
gains,236
selection,235
award,235
maybe,235
starter,235
custom,235
lots,235
selling,235
brave,235
huge,235
