Word,Frequency
beat,23
odds,4
interactive,6
board,476
game,2141
contestants,3
encouraged,5
get,314
advice,3
family,66
friends,76
make,201
final,45
decision,11
potential,9
deal,21
Based,25
upon,24
international,8
phenomenon,1
highly,8
successful,15
Deal,12
television,11
show,60
follows,6
set,160
rules,167
Select,6
briefcase,6
either,107
stay,20
bank,16
cash,20
offer,19
exchange,13
briefcases,1
hidden,32
value,81
end,204
1,231
million,23
0.01,1
Ages,25
10,73
intended,5
6-Feb,13
players,1127
age-old,3
children,56
's,665
multiple,32
variants,12
exist,5
Multiple,2
editors,1
editions,14
common,21
version,128
roll,198
dice,363
move,303
caps,9
around,145
player,1519
lands,29
another,154
cap,5
stack,38
captures,9
nesting,1
top,111
seeks,2
return,18
home-base,1
keep,82
ends,85
one,861
active,28
color,166
left,80
winner,127
captured,18
colors,55
course,46
According,4
Miscellaneous,1
Game,252
Book,12
first,419
published,42
1927,2
Otto,1
Maier,1
Verlag,1
led,7
many,145
copycats,1
including,39
two,334
Spears,3
lead,26
gang,5
5,147
mice,12
race,79
cheese,10
throw,23
special,117
green,33
red,65
yellow,25
faces,11
face,121
lets,8
mouse,9
forward,18
makes,43
backward,6
nothing,26
even,92
powers,34
help,70
Get,19
Simple,8
right,94
quite,17
opponents,111
sitting,5
still,59
use,135
slow,9
2001,10
Concours,2
International,5
de,20
Crateurs,2
Jeux,2
Socit,2
Simpsons,7
TCG,1
plays,63
deck,183
based,114
five,101
characters,101
Television,3
Bart,3
Homer,4
Lisa,3
Mr.,16
Burns,2
Krusty,2
aim,17
achieve,15
7,66
points,357
participating,2
scene,11
cards,1359
played,181
Cards,107
count,41
completing,12
trashing,1
depending,36
whether,36
match,57
traits,3
playable,13
character,110
unique,64
action,110
Fixed-rarity,1
decks,23
matching,65
released,23
found,34
booster,1
packs,9
though,21
boosters,2
four,212
Boosters,1
also,241
included,27
foil,3
versions,27
n't,162
find,87
widespread,2
audience,11
Wizards,3
Coast,3
dropped,1
support,22
initial,9
print,5
run,29
modular,8
Countdown,3
Special,21
Ops,3
charge,6
ops,2
team,85
mission,26
Find,13
bombs,7
dismantle,1
hostages,2
safety,6
take,240
terrorist,1
leaders,9
Due,2
high,52
variation,11
goals,9
targets,6
threats,7
specific,22
circumstances,2
need,91
choose,91
set-up,4
strategy,66
time,227
start,130
campaign,15
grenades,1
buster,2
public,13
places,48
airports,3
train,15
stations,6
else,40
civilians,2
might,44
hurt,5
resulting,6
negative,8
balance,16
Plus,3
know,67
injuring,1
cool,13
Develop,1
primary,2
skill,12
neglect,2
attack,60
power,86
defense,11
skills,19
want,72
alive,17
thrilling,2
new,197
fully,8
able,30
create,32
adjusting,3
different,236
aspects,6
play,474
situations,6
200,16
playing,168
challenges,33
mode,17
single,47
scenario,11
level,39
duration,3
advised,1
lowest,10
Level,5
succeed,16
times,41
try,136
next,118
orange,5
three,230
missions,17
row,78
increasing,10
difficulty,16
Goals,1
Even,4
altered,1
co-operative,6
'd,6
like,148
change,54
could,62
add,52
traitors,2
Traitor,2
Mode,3
Development,1
develop,4
Op,1
improving,3
done,26
brings,16
interesting,15
risk,19
gain,52
extra,29
experience,35
cost,12
combined,14
30-minute,2
limit,9
per,36
feel,10
actual,8
PC,2
Smart,7
development,3
essential,3
survive,34
higher,26
threat,9
levels,20
Modeled,1
iconic,4
Black,27
Mirror,1
episode,5
name,63
starring,3
Bryce,1
Dallas,1
Howard,3
NOSEDIVE,2
challenged,6
perfect,15
life,60
collecting,21
lifestyle,1
avoiding,8
dings,1
social,9
score,131
Integrated,1
free,34
smartphone,2
app,5
available,41
iOS,3
Android,1
includes,60
thousand,3
experiences,3
impress,5
important,20
improve,6
standing,12
description,75
publisher,110
card,944
illustrated,17
shapes,7
numbers,54
simple,75
shape,15
number,261
previous,16
rid,33
Like,12
Uno,7
without,62
suits,10
stars,16
circles,7
squares,36
crosses,3
triangles,9
suit,17
laying,14
laid,18
lay,16
Also,20
numbered,25
20,41
WHOT,1
Card,77
used,95
person,70
finished,5
others,62
penalty,17
hand,241
Star,36
double,21
indicated,11
second,45
smaller,19
figure,24
small,52
star,10
recent,7
give,64
colours,12
blue,37
purple,5
Whot,1
invented,12
apparently,5
patented,1
trademarked,1
William,2
Henry,1
Storey,2
Southend-on-Sea,1
England,7
1935,1
marketed,1
company,12
Co,1
Croydon,1
1930,3
soon,27
acquired,3
Waddingtons,1
Leeds,1
popular,46
Britain,9
1950s,1
1960s,2
Ladybug,2
designed,41
parents,6
Parents,3
read,30
lively,4
introductory,6
story,26
adventures,14
ladybugs,3
Ella,1
Yellow,7
Rickie,1
Red,30
Tommy,1
Teal,1
Olivia,1
Orange,3
object,54
way,143
back,148
home,48
rosebush,1
windstorm,1
launches,1
airborne,1
land,84
faraway,1
dirt,2
pile,84
ladybug,1
Along,13
encounter,19
various,61
hazards,6
tall,2
grass,1
praying,2
mantis,2
aphids,1
ants,1
Kylie,1
Copenhagen,1
grader,3
California,3
loves,1
Soluna,2
fast-playing,2
brain,15
teaser,4
consists,44
twelve,4
double-sided,11
discs,8
disc,8
space-themed,1
symbols,28
sun,9
moon,4
comet,1
side,107
symbol,17
tiles,115
scattered,5
table,105
creating,11
stacks,5
tile,94
turn,427
place,158
height,6
b,4
topped,2
Stacks,1
divided,19
Players,322
turns,141
loses,39
wins,302
nearly,5
identical,18
earlier,7
Bruno,2
Faidutti,2
Babylon,2
starting,33
round,165
win,251
rounds,53
Reimplements,2
Monopoly,58
Fortnite,2
picking,9
27,9
outfits,1
battle,92
die,196
pick,47
health,7
build,91
walls,12
damage,20
Every,37
passes,14
Go,14
unleash,5
Storm,3
avoid,22
lose,66
HP,1
video,17
last,95
GAME,19
SYSTEM,2
entry,10
allow,50
discussion/rating,2
system,31
whole,29
product,7
release,14
Versions,2
appear,8
individual,12
item,20
pages,4
CCG,11
movie,34
Wars,28
Episode,1
First,40
shuffling,2
see,63
goes,32
usually,20
drawing,32
destiny,6
draw,147
6,144
reserve,8
chose,8
planet,24
deploy,3
counters,25
worth,38
Locations,3
weapons,29
effect,22
deployed,3
boost,6
equipment,13
Phase,7
battling,3
currently,3
weapon,12
arranged,5
order,84
battled,1
case,21
turned,15
attached,4
discarded,13
total,61
dots,13
look,21
upper,3
corner,18
Whichever,3
loser,9
discards,4
Damage,1
listed,4
lost,24
fight,51
etc,38
attacker,8
defender,10
survived,3
remain,6
phase,23
called,38
Pick,7
original,42
may,266
discard,55
go,79
less,22
wish,16
equal,34
satisfied,2
thing,15
fresh,6
chosen,23
surrender,3
controlling,5
2,230
3,193
planets,10
running,10
opponent,97
lot,15
little,42
things,49
involved,9
basically,8
artwork,5
Deciphers,1
usual,8
standards,1
Set,9
Cubed,1
curious,1
clever,22
connections,7
challenging,16
ability,21
identify,7
SETs,6
already,43
making,36
possible,84
Create,4
across,47
increase,10
SET,2
combinations,19
Rack,2
using,82
BONUS,2
SQUARES,1
Roll,34
WILD,2
made,66
web,9
page,15
Relive,8
struggle,14
Renaissance,7
Italy,6
Intrigue,8
warfare,7
betrayal,3
day,31
among,24
Papal,2
States,9
Cesare,2
Borgia,3
long,49
considered,5
model,4
noble,7
prototype,1
Niccolo,1
Machiavelli,1
Prince-intelligent,1
cruel,4
treacherous,7
ruthlessly,1
opportunistic,1
XV-XVIth,1
century,13
represent,28
great,57
powerful,23
Italian,6
families-the,1
della,1
Rovere,1
Colonna,1
Medici,2
Orsini,1
newly-arrived,1
Spanish,9
house,47
goal,89
attain,1
position,25
guarantee,2
fame,6
wealth,4
Papacy,1
Prince,3
best,84
resources,33
Using,11
members,18
cardinals,1
offices,3
strongholds,2
patrimony,1
St.,3
Peter,3
alliances,5
families,12
patronage,1
remarkable,1
artists,2
lived,3
jostle,1
political,13
leverage,2
comes,73
Elector,1
Cardinals,1
enclave,1
vote,16
Pope,2
Accommodating,1
strategic,34
cardgame,3
intrigue,12
early,14
treachery,7
deceit,4
war,30
surrounded,7
ready,33
doubled,4
laughter,9
ridiculous,7
mouthpiece,3
challenge,64
Speak,4
together,75
laugh-out-loud,2
fun,113
say,36
phrases,14
wearing,4
wo,10
let,22
shut,2
mouth,6
phrase,15
easy,44
hindering,1
forming,10
words,52
correctly,45
timer,41
counts,5
stealthy,1
pet,2
ferret,1
Garrett,1
careless,1
clown,1
pelicans,1
love,21
pollywog,1
falafels,1
continues,34
decipher,3
world,104
teammate,5
trying,95
must,314
guess,60
earn,43
mouthpieces,1
Art,4
Thou,1
Romeo,4
nanogame,1
5-Mar,7
taking,33
role,57
Juliet,4
attempting,12
amongst,4
roles,17
holding,21
subsequently,4
convince,3
perhaps,6
point,91
think,31
lasts,6
influence,26
Hero,16
Immortal,3
King,52
takes,92
concepts,5
traditional,24
role-playing,5
head-to-head,8
solitaire,11
adventurers,23
dungeon,20
One,96
leads,10
dangerous,13
corridors,9
represented,21
manages,9
dangers,5
defeating,4
monster,38
Courage,3
tokens,103
Lantre,1
la,7
folie,1
Den,1
Dementia,1
infested,1
sorts,6
bubbleyes,1
nasty,10
floating,3
orbs,1
eyes,12
demise,1
inhabitants,7
ROLLEX,1
Sun,11
SOLLEX,1
live,11
delicious,6
fried,4
fell,4
sky,7
would,49
often,25
spend,14
years,34
towers,5
hardly,1
moving,37
enjoying,3
delicacy,1
ascend,3
spit,2
directions,11
surrounding,9
result,27
wasnt,1
known,41
far,20
wide,10
Dicemouths,3
However,41
rain,2
