Word,Frequency
Hordes,3
viewed,4
either,105
expansion,88
Warmachine,5
totally,9
separate,34
game,2998
using,142
system,367
Either,5
way,196
contains,67
four,239
new,886
factions,92
based,160
100,44
compatible,28
Rather,6
steampunk,2
theme,17
focuses,21
primitive,1
tribal,5
powers,81
Trollblood,1
Skorne,1
Legion,11
Everblight,1
Circle,3
Orboros,1
Farrow,1
pig-men,1
Gatormen,1
wage,13
war,274
great,143
warbeasts,1
place,175
warjacks,3
instead,34
warcasters,3
warlocks,1
draw,68
power,252
beasts,9
Astro,7
Knights,15
cooperative,71
deck,262
building,141
never,47
shuffled,9
goal,116
defeat,85
Boss,11
destroys,2
team,126
Homeworld,2
youre,11
defending,27
round,211
players,1498
take,377
turns,287
random,29
order,217
turn,459
able,94
acquire,64
Fuel,4
Tech,2
Weapons,10
supply,68
equip,14
attack,171
number,210
slots,8
gain,156
use,298
special,199
ability,56
Bosses,1
decks,61
abilities,188
require,33
different,378
strategy,132
defeated,24
Crash,2
Tackle,2
rugby,2
union,9
sports,9
board,455
brings,47
fast,41
paced,6
heart,35
pumping,2
action,316
real,53
right,96
table,49
top,45
two,493
rather,30
statistical,3
replay,11
large,100
full-colour,12
8,85
piece,24
hex,76
makes,59
pitch,3
represented,78
15,40
individual,63
player,1018
counters,163
teams,60
divided,73
4,217
basic,57
groups,47
Forwards,1
Backs,1
Wings,22
Fullback,1
according,30
respective,12
skills,115
determine,65
well,221
perform,68
actions,371
like,138
Passing,1
Kicking,1
Gathering,4
ball,9
move,172
direction,7
certain,57
distance,16
governed,3
position,48
relative,10
skill,38
rolling,30
dice,303
kicking,1
passing,6
necessary,31
Also,38
'Pressure,1
Play,91
cards,955
offer,40
additional,98
moves,50
make,260
pursuit,7
victory,294
newest,7
entry,34
DVG,1
's,1009
Air,41
Leader,52
series,255
Like,18
games,326
IAF,1
solitaire,95
air-to-air,1
air-to-ground,3
combat,297
mission,101
takes,159
roughly,16
30,53
minutes,81
set-up,21
plan,57
resolve,25
Players,351
select,29
squadron,20
pilots,22
campaign,262
Selecting,3
weapons,77
vital,18
success,38
fly,13
missions,112
experience,199
fatigue,12
improve,43
increases,17
decrease,4
might,98
several,112
installment,8
covers,65
historical,138
hypothetical,4
wars,21
involving,3
Israel,3
1948,2
year,80
2020,7
features,184
historically,19
accurate,12
