word,frequency
two,791
war,779
battle,674
also,654
time,634
board,614
rules,610
system,539
world,536
map,512
take,509
combat,500
different,499
set,497
actions,489
description,479
action,476
games,473
must,463
victory,459
1,455
campaign,452
dice,448
units,448
publisher,442
three,431
scenarios,425
series,416
unique,410
use,408
end,403
may,382
first,379
2,375
army,368
make,361
many,358
power,353
turns,351
four,342
deck,341
heroes,334
edition,329
build,324
control,315
battles,313
resources,311
order,306
even,303
great,300
forces,290
3,289
well,289
german,277
need,273
experience,272
4,270
special,269
get,267
scale,263
scenario,263
attack,263
number,262
round,259
way,256
features,253
city,252
every,250
played,248
fight,247
place,244
move,242
command,239
includes,237
counters,233
playing,232
phase,231
abilities,229
based,223
win,217
choose,217
find,216
various,214
armies,214
like,212
x,212
enemy,210
powerful,207
back,204
using,202
full,202
maps,200
takes,198
unit,197
gain,194
events,193
building,193
characters,190
best,190
hand,190
de,189
side,187
used,187
historical,187
military,185
5,184
last,180
create,180
years,178
become,176
tactical,176
strategy,176
team,175
much,175
around,174
including,174
space,173
next,173
opponent,172
together,172
level,171
box,170
ii,170
adventure,169
solitaire,169
air,167
hero,166
complete,166
help,166
missions,165
another,164
designed,164
tiles,163
available,163
strategic,163
original,162
work,162
five,161
allows,161
start,160
monsters,158
designer,158
land,158
fighting,157
possible,156
miniatures,156
across,156
allow,154
character,154
rounds,153
per,153
movement,152
role,152
french,151
soviet,151
second,150
empire,149
6,149
history,148
allies,146
several,145
goal,145
mission,145
skills,144
explore,144
people,142
force,142
story,141
additional,140
effects,140
six,139
cities,138
components,137
north,137
front,136
however,136
king,135
specific,135
hours,135
either,134
'll,134
wins,134
included,134
score,133
gameplay,133
factions,132
dark,132
influence,130
keep,129
ancient,129
version,129
life,129
ends,129
major,129
la,129
expansion,129
star,129
enemies,128
rulebook,128
face,128
course,128
troops,128
day,127
small,127
dungeon,127
large,127
along,127
base,126
wars,125
right,125
represent,124
try,124
include,123
opponents,123
area,123
able,123
come,123
die,123
defeat,123
hex,122
ships,122
tokens,122
simple,121
weapons,121
without,120
might,120
point,120
better,120
booklet,120
trade,118
book,118
basic,118
terrain,117
advanced,117
group,117
objectives,117
europe,117
uses,116
10,116
powers,116
want,115
evil,115
entire,115
track,115
part,114
could,114
enough,114
attacks,114
political,113
high,113
still,113
key,113
bring,111
leader,111
epic,111
age,111
see,111
long,111
campaigns,110
year,110
main,110
operations,110
red,110
infantry,110
american,110
making,109
variety,109
race,109
line,109
mechanics,108
single,108
throughout,106
would,106
provide,105
made,104
workers,104
decisions,104
support,104
lead,103
cooperative,103
22,103
allied,102
8,102
ship,102
within,102
sea,102
important,102
elements,102
design,101
buildings,101
change,101
options,101
strength,101
earth,100
quickly,100
core,100
taking,99
counter,99
multiple,99
master,98
choices,98
conflict,98
types,98
us,97
challenge,97
british,97
